DEPARTAMENTO,ÁREA,SEXO,Total personas de 5 y más años que usaron Internet,,,,Dispositivos para acceder a Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,En el hogar,,,,,En el trabajo,,,,,En la institucion educativa,,,,,En centro de acceso público gratis,,,,,En centro de acceso público con costo (café internet),,,,,En la vivienda de otra persona,,,,,En desplazamiento de un sitio a otro,,,,,En otro sitio,,,
,,MUJER,1.989,44,"1,1%",,1.956,46,"1,2%","98,3",,608,43,"3,6%","30,6",,"296,0","32,5","0,1","14,9",,77,24,"15,9%","3,9",,51,17,"16,8%","2,5",,292,41,"7,2%","14,7",,326,50,"7,9%","16,4",,1,1,"99,3%","0,0"
,CABECERA,TOTAL,3.224,68,"1,1%",,3.170,71,"1,1%","98,3",,1.264,68,"2,7%","39,2",,"489,6","48,7","0,1","15,2",,119,35,"15,1%","3,7",,87,26,"15,3%","2,7",,515,72,"7,1%","16,0",,625,92,"7,5%","19,4",,1,2,"71,2%","0,0"
,,HOMBRE,1.470,44,"1,5%",,1.440,46,"1,6%","98,0",,700,44,"3,2%","47,6",,"225,2","29,4","0,1","15,3",,56,18,"16,1%","3,8",,44,14,"16,8%","3,0",,262,40,"7,9%","17,8",,335,52,"7,9%","22,8",,1,1,"100,0%","0,0"
,,MUJER,1.754,44,"1,3%",,1.730,45,"1,3%","98,6",,563,43,"3,9%","32,1",,"264,4","31,8","0,1","15,1",,63,24,"19,4%","3,6",,43,17,"19,8%","2,5",,254,42,"8,4%","14,5",,290,51,"8,9%","16,5",,1,1,"99,3%","0,0"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,461,14,"1,6%",,445,17,"2,0%","96,4",,126,11,"4,3%","27,3",,"64,0","10,9","0,1","13,9",,26,7,"14,3%","5,5",,15,4,"15,1%","3,3",,76,13,"8,6%","16,4",,81,13,"8,2%","17,5",,0,1,"90,9%","0,1"
,,HOMBRE,227,8,"1,9%",,219,9,"2,1%","96,5",,82,7,"4,6%","36,0",,"32,4","6,4","0,1","14,3",,11,4,"17,0%","5,0",,8,3,"19,3%","3,5",,38,6,"8,2%","16,7",,44,7,"7,8%","19,6",,0,1,"90,9%","0,1"
,,MUJER,235,9,"1,9%",,226,10,"2,3%","96,3",,44,6,"6,6%","18,9",,"31,6","7,0","0,1","13,5",,14,4,"15,6%","6,1",,7,2,"16,9%","3,1",,38,8,"11,1%","16,1",,36,9,"12,0%","15,5",,0,0,.,-
VAUPÉS,TOTAL,TOTAL,15,1,"4,0%",,7,1,"5,0%","48,5",,4,0,"5,7%","23,1",,"6,0","0,8","0,1","39,4",,3,1,"12,5%","22,7",,3,1,"11,4%","16,5",,1,0,"24,5%","6,8",,0,0,"24,2%","2,7",,0,0,"36,4%","1,7"
,,HOMBRE,8,1,"4,0%",,4,0,"5,8%","48,5",,2,0,"6,4%","24,4",,"3,0","0,5","0,1","35,9",,2,0,"12,3%","24,0",,1,0,"10,6%","17,4",,1,0,"28,4%","7,8",,0,0,"27,8%","3,0",,0,0,"39,5%","1,9"
,,MUJER,7,1,"4,9%",,3,0,"5,6%","48,4",,1,0,"6,9%","21,5",,"2,9","0,5","0,1","43,8",,1,0,"14,8%","21,1",,1,0,"15,3%","15,3",,0,0,"21,6%","5,4",,0,0,"29,5%","2,4",,0,0,"47,0%","1,4"
,CABECERA,TOTAL,9,0,"2,4%",,6,1,"4,5%","71,0",,3,0,"5,4%","35,5",,"2,8","0,4","0,1","31,7",,2,1,"13,7%","26,3",,2,1,"13,4%","22,6",,0,0,"22,1%","4,1",,0,0,"40,0%","1,8",,0,0,"46,0%","0,4"
,,HOMBRE,5,0,"2,2%",,3,0,"4,5%","71,7",,2,0,"5,6%","37,0",,"1,5","0,2","0,1","31,0",,1,0,"13,0%","28,3",,1,0,"12,4%","22,7",,0,0,"26,0%","4,1",,0,0,"46,0%","1,8",,0,0,"47,9%","0,6"
,,MUJER,4,0,"3,4%",,3,0,"5,3%","70,2",,1,0,"6,5%","33,7",,"1,3","0,2","0,1","32,6",,1,0,"16,4%","24,0",,1,0,"16,8%","22,5",,0,0,"23,4%","4,2",,0,0,"39,7%","1,7",,0,0,"93,5%","0,1"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,6,1,"8,8%",,1,0,"21,0%","17,6",,0,0,"26,8%","6,2",,"3,2","0,7","0,1","49,8",,1,1,"25,9%","17,8",,1,0,"19,8%","8,1",,1,0,"35,9%","10,3",,0,0,"30,4%","4,1",,0,0,"41,2%","3,5"
,,HOMBRE,4,1,"8,4%",,1,0,"25,2%","19,7",,0,0,"27,1%","8,8",,"1,6","0,5","0,2","42,0",,1,0,"25,6%","18,6",,0,0,"20,7%","10,8",,0,0,"38,4%","12,5",,0,0,"35,0%","4,4",,0,0,"47,2%","3,5"
,,MUJER,3,1,"11,4%",,0,0,"25,9%","14,7",,0,0,"61,2%","2,6",,"1,6","0,4","0,1","61,0",,0,0,"30,6%","16,7",,0,0,"31,2%","4,1",,0,0,"35,2%","7,2",,0,0,"42,0%","3,5",,0,0,"48,6%","3,6"
VICHADA,TOTAL,TOTAL,15,2,"5,6%",,14,2,"6,1%","89,6",,6,1,"6,1%","40,9",,"2,3","0,4","0,1","15,2",,0,0,"25,9%","2,5",,0,0,"39,6%","0,5",,0,0,"27,9%","2,0",,0,0,"46,5%","0,4",,0,0,"99,3%","0,1"
,,HOMBRE,8,1,"6,0%",,7,1,"6,7%","88,5",,4,0,"6,7%","47,3",,"1,3","0,3","0,1","16,0",,0,0,"29,4%","2,6",,0,0,"45,5%","0,8",,0,0,"30,0%","3,2",,0,0,"58,3%","0,5",,0,0,.,-
,,MUJER,7,1,"5,7%",,7,1,"6,2%","90,8",,3,0,"7,3%","34,1",,"1,1","0,2","0,1","14,4",,0,0,"28,4%","2,3",,0,0,"81,7%","0,2",,0,0,"64,2%","0,7",,0,0,"69,3%","0,2",,0,0,"99,3%","0,2"
,CABECERA,TOTAL,13,1,"3,4%",,12,1,"3,9%","89,3",,6,1,"5,4%","43,7",,"2,1","0,3","0,1","15,7",,0,0,"25,9%","2,9",,0,0,"39,6%","0,6",,0,0,"29,3%","1,7",,0,0,"46,5%","0,4",,0,0,"99,3%","0,1"
,,HOMBRE,7,0,"3,7%",,6,1,"4,4%","88,6",,3,0,"5,8%","50,4",,"1,1","0,2","0,1","16,2",,0,0,"29,4%","3,1",,0,0,"45,5%","0,9",,0,0,"31,2%","2,7",,0,0,"58,3%","0,6",,0,0,.,-
,,MUJER,6,0,"3,8%",,6,0,"4,2%","89,9",,2,0,"6,9%","36,8",,"1,0","0,2","0,1","15,3",,0,0,"28,4%","2,6",,0,0,"81,7%","0,2",,0,0,"64,2%","0,8",,0,0,"69,3%","0,2",,0,0,"99,3%","0,2"
,CENTROS POBLADOS Y RURAL DISPERSO,TOTAL,2,1,"33,8%",,2,1,"35,5%","91,6",,1,0,"43,9%","23,9",,"0,3","0,2","0,5","12,0",,0,0,.,-,,0,0,.,-,,0,0,"71,4%","3,2",,0,0,.,-,,0,0,.,-
,,HOMBRE,1,1,"33,5%",,1,1,"37,5%","87,8",,0,0,"44,1%","29,8",,"0,2","0,2","0,6","15,0",,0,0,.,-,,0,0,.,-,,0,0,"71,4%","5,8",,0,0,.,-,,0,0,.,-
,,MUJER,1,1,"36,0%",,1,1,"36,5%","96,3",,0,0,"54,4%","16,6",,"0,1","0,1","0,7","8,4",,0,0,.,-,,0,0,.,-,,0,0,.,-,,0,0,.,-,,0,0,.,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: DANE - Encuesta Nacional de Calidad de Vida - ECV 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Datos expandidos con proyecciones de población, con base en los resultados del censo 2018.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b/ Limite medio del intervalo con 95% de confianza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"c/ Coeficiente de variación estimado. Valores del coeficiente de variación inferiores al 10% representan alta precisión en las estimaciones; valores entre 10% y 15% significan precisión aceptable de las cifras estimadas y requieren revisiones; y valores del coeficiente de variación superiores al 15% transmiten baja precisión de las estimaciones, por lo que éstas deben usarse con precaución.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Por efecto del redondeo en miles, los totales pueden diferir ligeramente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actualizado el 09 de agosto de 2024.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
